m_mistrust,credences
5,"[[0.0, 8.035283011317914e-63], [0.0, 1.0], [0.0, 1.0216129104992795e-62], [0.0, 1.0], [0.0, 1.2723101788144822e-63], [0.0, 1.0], [0.0, 1.0], [0.0, 4.226895906351133e-66], [0.0, 1.4614991561688225e-59], [0.0, 1.4334262317685864e-66], [1.0, 1.0], [1.0, 1.86527570627647e-126], [1.0, 1.8712283973406267e-126], [1.0, 1.1408561390553078e-128], [1.0, 1.0], [1.0, 6.558358616455806e-130], [1.0, 3.2890524736040256e-131], [1.0, 3.204611604380372e-127], [1.0, 1.7766680509180154e-131], [1.0, 3.944318514680184e-128]]"
3,"[[0.0, 0.9999999999999035], [0.0, 0.9999999999995891], [0.0, 0.9999999999999998], [0.0, 0.9999999999998607], [0.0, 0.9999999994527528], [0.0, 0.9999999999991581], [0.0, 0.999999999999714], [0.0, 0.9999999999999738], [0.0, 0.9999999999999998], [0.0, 0.9999999999999157], [1.0, 0.9999999439995401], [1.0, 0.9999999994536957], [1.0, 0.9999999999337584], [1.0, 1.058432521311148e-10], [1.0, 0.9999999998381675], [1.0, 0.9999997190166987], [1.0, 2.331243343922284e-10], [1.0, 0.999999990190533], [1.0, 0.9999999962388089], [1.0, 2.4566243060627858e-14]]"
0.1,"[[0.0, 0.9952980697752769], [0.0, 0.9981510134039766], [0.0, 0.9992176911399909], [0.0, 0.9986691433062049], [0.0, 0.9994442875100388], [0.0, 0.9986062291664948], [0.0, 0.9996522623576497], [0.0, 0.9981347222207259], [0.0, 0.9999931090270137], [0.0, 0.9966169571251593], [1.0, 0.9988549763215973], [1.0, 0.9993786042708128], [1.0, 0.9982067366723775], [1.0, 0.9987669615322092], [1.0, 0.9995855952046765], [1.0, 0.9997289415000118], [1.0, 0.9986407500891846], [1.0, 0.9972279762590894], [1.0, 0.9978665167274083], [1.0, 0.9982968938725113]]"
4,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 2.0569173177772085e-62], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 0.9999999999999868], [1.0, 0.9999999999999998], [1.0, 0.9999999999999998], [1.0, 3.2789188715068604e-38]]"
5,"[[0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 9.091800358496219e-157], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0]]"
3,"[[0.0, 4.1783003924239514e-26], [0.0, 4.3717989379548366e-27], [0.0, 0.9999999999999738], [0.0, 0.9999999999996176], [0.0, 0.9999999999944562], [0.0, 0.9999999999995863], [0.0, 0.9999999999732616], [0.0, 0.9999999999362219], [0.0, 0.9999999999998499], [0.0, 5.326690490119224e-26], [1.0, 6.909740765495717e-21], [1.0, 7.570337115211916e-24], [1.0, 0.9999999999999961], [1.0, 0.9999999999999888], [1.0, 7.579053053649845e-23], [1.0, 1.5915652883857256e-25], [1.0, 0.9999999999999961], [1.0, 0.9999999999999981], [1.0, 0.9999999999999953], [1.0, 3.5207761845840943e-22]]"
1,"[[0.0, 0.9999998467800238], [0.0, 0.999999836719526], [0.0, 0.9999998737572353], [0.0, 0.9999998333254825], [0.0, 0.9999999272249572], [0.0, 0.9999998666299923], [0.0, 0.9999999532109052], [0.0, 0.9999998865277233], [0.0, 0.999999998222928], [0.0, 0.9999999154028119], [1.0, 0.9990221219034247], [1.0, 0.9994921773851738], [1.0, 0.9995008882890654], [1.0, 0.998189688889284], [1.0, 0.9992623189921951], [1.0, 0.9995649266968039], [1.0, 0.9995292850005427], [1.0, 0.9985892545730931], [1.0, 0.9994793468869327], [1.0, 0.9953186956951474]]"
2,"[[0.0, 1.0], [0.0, 0.9999999999999822], [0.0, 1.0], [0.0, 0.9999999999994025], [0.0, 1.0], [0.0, 0.9999999999999837], [0.0, 0.9999999999999662], [0.0, 0.9999999999999596], [0.0, 0.9999999999999742], [0.0, 0.9999999999999649], [1.0, 0.9999999999932696], [1.0, 0.9999999999998067], [1.0, 0.9999999999878091], [1.0, 0.9999999999999348], [1.0, 0.999999999999643], [1.0, 0.9999999999987732], [1.0, 0.9999999999987649], [1.0, 0.99999999999944], [1.0, 0.9999999604288556], [1.0, 0.9999999999998831]]"
4,"[[0.0, 1.036976862394702e-65], [0.0, 1.1756806410364339e-66], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 4.134165836395808e-67], [1.0, 4.0318502490316966e-57], [1.0, 2.9058363539814615e-61], [1.0, 1.0], [1.0, 1.0], [1.0, 2.1624817902795996e-60], [1.0, 2.2266582763883439e-63], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 2.584116261497135e-59]]"
5,"[[0.0, 5.144233061406463e-166], [0.0, 5.665186526805667e-167], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 1.0], [0.0, 6.547979823087836e-164], [0.0, 1.0], [0.0, 4.714924855736456e-170], [1.0, 8.594162164236017e-150], [1.0, 1.9655131375347342e-155], [1.0, 1.0], [1.0, 1.0], [1.0, 1.574096866559524e-154], [1.0, 1.0809996930294572e-158], [1.0, 1.0], [1.0, 1.0], [1.0, 1.0], [1.0, 1.9274818590648008e-153]]"
