m_mistrust,outcome,credences
0.41836734693877553,True consensus,"[[0.9999935250510019, 0.9999999683698816, 0.9999995889791174], [0.9999176869869735, 0.9999985301900481, 0.9999917980380957], [0.9998813606376092, 0.9999999588532176, 0.9999986945746857], [0.9999838933050149, 0.9999966868350875, 0.9999769375252577], [0.9997919035026668, 0.9999970692754266, 0.9999778113297448], [0.9999908985664909, 0.9999999205601466, 0.9999990199838231], [0.9999669869712262, 0.9999992264419656, 0.9999990027781787], [0.9999968329253487, 0.9999999999174223, 0.999996122747926], [0.9999632474706156, 0.9999986017694374, 0.999996585226405], [0.9980062453676481, 0.999995629766865, 0.999995057953518]]"
0.25918367346938775,True consensus,"[[0.9999968660524222, 0.999999981337326, 0.9999998119245261], [0.9999612973081402, 0.9999992590659129, 0.9999951987298281], [0.9999430874325925, 0.999999974737602, 0.9999991923063497], [0.9999929174988008, 0.9999982234858356, 0.9999822125332269], [0.9998865440852753, 0.9999983508337079, 0.9999834881267448], [0.9999947153452049, 0.9999999489351851, 0.9999993274663967], [0.9999822025602032, 0.999999535812941, 0.9999992994140823], [0.9999977148342949, 0.9999999999486098, 0.9999969451598983], [0.9999785299377622, 0.9999990636816655, 0.9999977061684251], [0.9986170160626242, 0.9999971107546325, 0.9999980375778461]]"
0.17959183673469387,True consensus,"[[0.9999979021202503, 0.9999999854465759, 0.9999998733238836], [0.9999745028799615, 0.9999994749585565, 0.9999963618994191], [0.9999617745353255, 0.9999999799267633, 0.9999993750048595], [0.9999952906525116, 0.9999987204980516, 0.9999844262106092], [0.9999138558993033, 0.9999988015463255, 0.9999858004604705], [0.9999959743771296, 0.9999999590202531, 0.9999994600520578], [0.9999868418980449, 0.9999996392721845, 0.9999994184709489], [0.9999980407552607, 0.9999999999596169, 0.9999973216027662], [0.9999830054247781, 0.9999992353383071, 0.9999981412247896], [0.9988024703253034, 0.9999976649404873, 0.9999987922493517]]"
0.6571428571428571,True consensus,"[[0.9999840714514728, 0.9999999240899135, 0.9999986734867], [0.9997815509776672, 0.9999958817091239, 0.9999811904092067], [0.9996826343286939, 0.99999990796966, 0.9999975055692496], [0.9999431734969384, 0.999991986708188, 0.99996563566867], [0.9994161510109226, 0.9999936882465362, 0.999964317934447], [0.9999796643666459, 0.999999844764434, 0.9999985142075739], [0.9999132058144846, 0.9999983198109706, 0.9999983809176547], [0.9999946811883789, 0.9999999998353554, 0.9999947559820939], [0.9999072245471972, 0.9999975497546204, 0.9999943329476526], [0.9961235999093053, 0.9999912966428016, 0.999981432637045]]"
0.1,True consensus,"[[0.9999986323001974, 0.9999999885602189, 0.9999999153314801], [0.9999837089132927, 0.9999996293918537, 0.9999972823979144], [0.9999749441310061, 0.9999999839165751, 0.9999995227510964], [0.9999968861036055, 0.9999990924922887, 0.9999864396961947], [0.9999335630746345, 0.9999991526442034, 0.9999878659612722], [0.9999969361833916, 0.9999999671079979, 0.9999995759389688], [0.9999902403234276, 0.9999997190400188, 0.9999995208204517], [0.9999983097148646, 0.9999999999683549, 0.9999976736061631], [0.9999861948991254, 0.9999993751236956, 0.9999985022655687], [0.9989260690217874, 0.9999981366549129, 0.9999992721354902]]"
0.736734693877551,True consensus,"[[0.9999795275607626, 0.9999998962387856, 0.9999980497202592], [0.999706699378335, 0.9999942027174114, 0.9999748587770395], [0.999570783003342, 0.9999998774076772, 0.9999969693728467], [0.999914017827117, 0.9999893590527098, 0.9999604887490391], [0.9991602349790588, 0.9999919449276576, 0.9999571813757172], [0.9999736384198213, 0.9999998055176501, 0.9999983582321958], [0.9998790059495593, 0.999997823950814, 0.9999981186255964], [0.9999936767520169, 0.9999999997940778, 0.9999942893581937], [0.9998718504720682, 0.9999970994844718, 0.9999935006915173], [0.9951039349185199, 0.9999886050237657, 0.9999712765152999]]"
0.8163265306122448,True consensus,"[[0.9999743145152895, 0.9999998569690414, 0.9999971571428292], [0.99961065952967, 0.999991869239772, 0.9999663159913097], [0.9994269743517559, 0.999999835430537, 0.9999963663654714], [0.9998712947713501, 0.9999859451200301, 0.9999543518375983], [0.9987869482129396, 0.9999897209301772, 0.9999475980045636], [0.9999660640934799, 0.9999997561604238, 0.9999982222086008], [0.9998306210601017, 0.9999971854035395, 0.999997825443398], [0.9999925088832058, 0.9999999997434031, 0.9999938397817973], [0.9998228956757348, 0.9999966041628306, 0.9999926750540655], [0.9938312875875648, 0.99998472200895, 0.9999556236777667]]"
0.5775510204081632,True consensus,"[[0.9999879052368317, 0.9999999439229588, 0.9999991016997969], [0.9998395051156572, 0.9999970793367393, 0.999985847468963], [0.999768284683929, 0.9999999303014545, 0.9999979699564838], [0.9999626741540036, 0.9999939974367159, 0.9999699950826092], [0.9995910213977521, 0.9999950728051138, 0.9999698183748116], [0.999984395557325, 0.9999998759655646, 0.9999986813526808], [0.9999374435161157, 0.9999987032773192, 0.9999986144227307], [0.9999955321107538, 0.9999999998687756, 0.9999952230020225], [0.9999325472257746, 0.9999979510871086, 0.9999951413629159], [0.9969226726380143, 0.9999932003126853, 0.99998801241433]]"
0.49795918367346936,True consensus,"[[0.9999910396370345, 0.9999999581240061, 0.999999392467517], [0.9998839735799884, 0.9999979288444732, 0.9999892657426315], [0.9998330126096384, 0.9999999467101527, 0.9999983643810844], [0.9999755169821234, 0.9999955275134318, 0.9999737219353353], [0.9997103723662883, 0.9999961805770874, 0.9999742040850259], [0.9999880696364181, 0.9999999007878142, 0.9999988520758589], [0.9999546788252291, 0.9999989989304703, 0.9999988210658844], [0.9999962437102524, 0.9999999998957457, 0.9999956807247922], [0.9999505358516386, 0.9999983015976333, 0.9999958988681641], [0.9975382513662633, 0.9999945856158106, 0.9999922814174048]]"
0.8959183673469387,True consensus,"[[0.9999685327547966, 0.9999998014039778, 0.9999959112966023], [0.9994879485204982, 0.999988659780401, 0.9999549275622541], [0.9992453964056991, 0.9999997776683768, 0.9999957116026328], [0.9998101719224157, 0.9999815312495192, 0.9999469595665381], [0.9982460906212776, 0.9999868319147716, 0.999934306374761], [0.9999566871568366, 0.9999996941672852, 0.999998115744967], [0.9997620092320252, 0.9999963671895722, 0.9999974986064355], [0.9999911741333931, 0.9999999996815976, 0.9999934305582837], [0.9997558257341331, 0.9999960687410003, 0.99999188512867], [0.9922844385867013, 0.9999790529645772, 0.9999316113458792]]"
