m_mistrust,outcome,credences
0.736734693877551,True consensus,"[[0.9999999577728872, 0.9999995754775733, 0.9998348412037228], [0.9999998348717181, 0.999999193583907, 0.9998540621920726], [0.999999417020507, 0.9999998906841889, 0.999675928437259], [0.9999996190611005, 0.9999997866951472, 0.9999817981318315], [0.9999997960095689, 0.9999999545984853, 0.9998035432715098], [0.9999991239126165, 0.9999999384056009, 0.9997765941490081], [0.9999988095009851, 0.9999993557150698, 0.9998419649723556], [0.9999998868083826, 0.9999999739805675, 0.9999381150685582], [0.9999994823554215, 0.9999999467730918, 0.9999252039306983], [0.9999997403029769, 0.999999986692934, 0.9997003205466801]]"
0.17959183673469387,True consensus,"[[0.9999999999130952, 0.999999999262819, 0.9999883443517746], [0.999999999751274, 0.9999999992057544, 0.999997286074328], [0.9999999995281641, 0.9999999994636101, 0.9999748292745368], [0.9999999995716143, 0.9999999997223205, 0.9999994460292693], [0.9999999998391231, 0.9999999999164393, 0.9999904304891127], [0.999999997501101, 0.9999999997313866, 0.9999494227449324], [0.999999996525771, 0.999999997076976, 0.9999778005144427], [0.9999999998339814, 0.9999999998283153, 0.9999976153553205], [0.9999999995445435, 0.9999999998796, 0.9999970578083264], [0.9999999999488135, 0.9999999999696787, 0.9999936068372836]]"
0.1,True consensus,"[[0.9999999516011054, 0.9999999794461133, 0.999456675354402], [0.9999998886942796, 0.9999999810071045, 0.9998989884086216], [0.9999997320028498, 0.9999999839442257, 0.9987017004382676], [0.999999760005202, 0.9999999937837916, 0.9999761078960521], [0.9999999020908373, 0.9999999976307152, 0.9995914426960443], [0.9999987426977796, 0.999999986193401, 0.9966990656859152], [0.9999977728719837, 0.9999997230204684, 0.9989642553427378], [0.999999909406214, 0.9999999909404671, 0.9998996253640422], [0.9999997065830782, 0.9999999886207283, 0.999889503305647], [0.999999955032895, 0.9999999976542814, 0.999772821736049]]"
0.25918367346938775,True consensus,"[[0.9999990623114825, 0.9999999727618751, 0.9994313069678817], [0.9999971230575946, 0.9999999719016662, 0.9998360428011288], [0.9999946485797298, 0.9999999796055437, 0.9988489979641489], [0.9999954684492058, 0.9999999903928842, 0.9999699816148514], [0.9999981029449647, 0.9999999964787931, 0.9994972439173484], [0.9999817723752938, 0.9999999914084355, 0.9980079570447039], [0.9999756634995578, 0.9999999199262144, 0.9989744697308206], [0.9999989620564218, 0.9999999957982109, 0.9998726856734699], [0.9999973084038837, 0.9999999975478724, 0.9998381711606658], [0.9999993025804301, 0.9999999992477753, 0.9995935828647505]]"
0.41836734693877553,True consensus,"[[0.9999997776976577, 0.9999999038877372, 0.9984438433858899], [0.999999146742112, 0.9999998605280132, 0.9994490231137696], [0.9999981444893586, 0.9999999362403467, 0.9973936304820088], [0.9999978194804016, 0.999999967068523, 0.9999025920674529], [0.9999993128272975, 0.9999999869318792, 0.9984984167256367], [0.9999948207037803, 0.9999999231546719, 0.9969432116789074], [0.9999919125973452, 0.9999993427860886, 0.9979271718485606], [0.9999998396521653, 0.9999999904368394, 0.9994621112832168], [0.9999995185481897, 0.9999999901461533, 0.999492877010264], [0.9999995577408737, 0.999999992434159, 0.9985358999770765]]"
0.5775510204081632,True consensus,"[[0.9999998065539681, 0.9999673090339591, 0.9999868303237802], [0.9999992820417075, 0.9999650389740766, 0.9999938107066255], [0.9999980664627599, 0.9999558671396913, 0.9999762803983352], [0.999998571469954, 0.9999889937643742, 0.9999991666871195], [0.9999996807063207, 0.9999978451710625, 0.9999900266390499], [0.999996431905651, 0.9999593871233222, 0.9999793467261541], [0.9999981334436768, 0.9999376794300374, 0.999989582195883], [0.9999998186128171, 0.9999950659631387, 0.9999958564920257], [0.9999995088010504, 0.9999958583236648, 0.9999965219156367], [0.9999996611864291, 0.9999970089569703, 0.9999892778228553]]"
0.3387755102040816,True consensus,"[[0.999999859058835, 0.9999996487956371, 0.9990239371211425], [0.9999996326051822, 0.9999997407307251, 0.9996755992750537], [0.9999988491548966, 0.999999563896734, 0.9982368626475902], [0.9999992953934426, 0.9999998635550166, 0.9999463335129981], [0.9999997897139773, 0.9999999620142171, 0.9993197672047319], [0.9999971282415443, 0.999999862625464, 0.9977188194174962], [0.999996085311807, 0.9999992723057692, 0.9985176256064894], [0.9999998014514534, 0.9999999625896859, 0.9997838898211636], [0.9999993038440691, 0.9999999704925939, 0.9996173176472206], [0.9999999603888434, 0.9999999969605716, 0.9994850016866491]]"
0.6571428571428571,True consensus,"[[0.9999997321021838, 0.9999615228503236, 0.9999834188975244], [0.9999989895784316, 0.9999583279326625, 0.9999914854441533], [0.9999971555579131, 0.9999428907141554, 0.9999685160497184], [0.9999980067745806, 0.9999875496486683, 0.9999989476005626], [0.9999995588239038, 0.9999975796765528, 0.9999875689353669], [0.999994235255983, 0.9999323111405642, 0.9999702744317144], [0.9999979759069052, 0.999942490851507, 0.9999852598170462], [0.999999802393075, 0.9999950302079437, 0.999993652233371], [0.9999994638052265, 0.9999961672661549, 0.9999948110500914], [0.9999995278074268, 0.9999952322955767, 0.9999831170038559]]"
0.49795918367346936,True consensus,"[[0.9999999989359457, 0.9999999990890267, 0.9999668118717062], [0.9999999962853126, 0.9999999987925299, 0.9999871922393214], [0.9999999903353745, 0.9999999993681844, 0.9999404829034101], [0.9999999898805245, 0.9999999997339503, 0.999997840316685], [0.9999999967882163, 0.9999999998846462, 0.9999668732906606], [0.9999999769043799, 0.9999999992802836, 0.9999371906723681], [0.9999999515461595, 0.9999999920847815, 0.9999515817950888], [0.999999999445375, 0.9999999999320075, 0.9999862809180236], [0.9999999983746249, 0.9999999999376012, 0.9999878626361478], [0.9999999966427541, 0.9999999999335382, 0.9999556094523896]]"
0.736734693877551,True consensus,"[[0.9999992601390831, 0.999999982077299, 0.9988718427430419], [0.9999996724816569, 0.9999999773006466, 0.9990850474969435], [0.9999985112662075, 0.9999999995311779, 0.9992427990787304], [0.9999978693146755, 0.9999999893068797, 0.9998762024804143], [0.9999966552592466, 0.999999995234923, 0.9979736068900309], [0.9999973289418254, 0.9999999999429163, 0.9988091807991609], [0.9999987276931646, 0.9999999822921936, 0.9991188147963381], [0.9999976038872179, 0.999999972301498, 0.9999957217354696], [0.9999996374724816, 0.9999999999629279, 0.9994130894476743], [0.9999998017467678, 0.9999999995087977, 0.9981410471910039]]"
0.41836734693877553,True consensus,"[[0.9999986566082861, 0.9976910456727998, 0.9926636709666108], [0.9999854090795112, 0.9996142833702384, 0.9998775196090525], [0.9999234383058306, 0.997868114101688, 0.9993086269856813], [0.9998607746388557, 0.9977977581772711, 0.9982377567278335], [0.9989791071591214, 0.9964756615407974, 0.9990767645117258], [0.9999908143995626, 0.9999607377115135, 0.9996992329569068], [0.9998856160588954, 0.9991279392794424, 0.9997238244512933], [0.999482433858315, 0.9984077774666918, 0.9942396630588367], [0.9997644975254463, 0.9970642688022258, 0.9991897739738288], [0.9997880837261238, 0.9978429725057373, 0.9911086051436103]]"
0.17959183673469387,True consensus,"[[0.9999999999999225, 0.9988679652289487, 0.9999999999999981], [0.999999999999009, 0.9998355124448818, 0.9999999999999998], [0.9999999999999425, 0.9998938260805852, 0.9999999999999998], [0.9999999999991839, 0.9991794981710413, 0.9999999999999994], [0.9999999999997394, 0.9995591231051907, 0.9999999999999992], [0.999999999999443, 0.9998196228019421, 0.9999999999999998], [0.9999999999995643, 0.9997385282422563, 0.9999999999999989], [0.999999999999962, 0.9992270254798441, 0.9999999999999969], [0.9999999999998261, 0.9999448904994606, 0.9999999999999998], [0.9999999999999706, 0.999644247788961, 0.9999999999999998]]"
0.3387755102040816,True consensus,"[[0.9999994626824154, 0.9999989283841337, 0.999999506222987], [0.9999974297319448, 0.9999810307203245, 0.9999992595822913], [0.9999955836199717, 0.9999637026441158, 0.99999622242647], [0.9999976993281722, 0.9998944957761191, 0.9999997359046976], [0.9999980700104028, 0.9999257620615984, 0.9999962162581638], [0.9999999984494763, 0.9999824379761879, 0.999997462557716], [0.9999973647933035, 0.9999530296838853, 0.99999505401951], [0.9999977182128368, 0.9999411673126607, 0.9999987456515149], [0.9999972637042901, 0.9999742642600071, 0.9999968000738377], [0.9999954550033632, 0.9999150898050708, 0.999997738999967]]"
1.1346938775510205,True consensus,"[[0.9999932593164791, 0.999999163195711, 0.9999980453633005], [0.9986022086723505, 0.999999999976168, 0.9999999999769018], [0.9965434267263482, 0.9999999999991205, 0.9999999999885019], [0.9963697882975848, 0.9999999999981172, 0.9999999999990138], [0.9994620354499735, 0.9999999999807235, 0.9999999999255855], [0.9946575162315621, 0.9999999999997913, 0.9999999999913082], [0.9938651400874547, 0.9999999999980782, 0.9999999996533911], [0.9986399254052102, 0.9999999999999212, 0.9999999999992739], [0.9945836176925993, 0.9999999999998638, 0.9999999999991555], [0.9983956894630657, 0.9999999999999757, 0.9999999999995217]]"
0.9755102040816326,True consensus,"[[0.999999999451996, 0.9999985530077318, 0.9999905346770196], [0.999999953058136, 0.9999999982170467, 0.999999999223223], [0.9999998821148772, 0.9999999998200051, 0.9999999987087297], [0.9999999049907857, 0.9999999997062123, 0.999999999958676], [0.9999999915169691, 0.9999999997065778, 0.9999999969149601], [0.9999997422681386, 0.99999999995307, 0.9999999999411437], [0.9999997300324825, 0.9999999996780009, 0.9999999997682048], [0.999999917093441, 0.9999999999783399, 0.9999999999944026], [0.9999998240412942, 0.9999999999681309, 0.9999999999987547], [0.99999996478885, 0.9999999999985576, 0.999999999988882]]"
1.0551020408163265,True consensus,"[[0.9999999995719321, 0.9999965454733443, 0.9999641518217416], [0.9999999426209067, 0.9999999966475391, 0.9999999984624055], [0.9999998595403249, 0.9999999996769942, 0.9999999974560613], [0.999999895009081, 0.9999999994006592, 0.9999999999045324], [0.9999999915138513, 0.9999999993864411, 0.9999999927836832], [0.9999997276531846, 0.9999999999158413, 0.9999999999021673], [0.9999997197831764, 0.9999999993857331, 0.9999999994953049], [0.9999999081749765, 0.9999999999586964, 0.999999999989], [0.9999998156171952, 0.9999999999346394, 0.9999999999976904], [0.9999999530429926, 0.9999999999978365, 0.9999999999837372]]"
0.736734693877551,True consensus,"[[0.9999999883053362, 0.9999999998078675, 0.9999999602421856], [0.9999999994774305, 0.9999999999363396, 0.9999999978878641], [0.9999998870901089, 0.9999999989904687, 0.9999999953092761], [0.9999999928293412, 0.999999999369299, 0.9999999892525469], [0.99999999995386, 0.9999999989426066, 0.9999999999320272], [0.99999999998588, 0.9999999994836168, 0.9999999999134551], [0.9999999999799224, 0.9999999996570271, 0.9999999999418119], [0.9999999999456531, 0.9999999996193482, 0.9999999983604805], [0.9999999980636417, 0.999999998874999, 0.9999999994359995], [0.999999999955661, 0.9999999999608596, 0.9999999999935824]]"
